Student_ID,First_Name,Last_Name,Email,Gender,Age
S1000,Omar,Williams,student0@university.com,Female,22
S1001,Maria,Brown,student1@university.com,Male,18
S1002,Ahmed,Jones,student2@university.com,Male,24
S1003,Omar,Williams,student3@university.com,Female,24
S1004,John,Smith,student4@university.com,Female,23
S1005,Liam,Brown,student5@university.com,Male,21
S1006,Ahmed,Jones,student6@university.com,Male,24
S1007,Ahmed,Smith,student7@university.com,Male,19
S1008,Omar,Smith,student8@university.com,Female,21
S1009,Sara,Smith,student9@university.com,Female,22
S1010,John,Smith,student10@university.com,Female,23
S1011,Omar,Williams,student11@university.com,Female,20
S1012,John,Davis,student12@university.com,Male,21
S1013,John,Williams,student13@university.com,Male,18
S1014,Liam,Williams,student14@university.com,Male,19
S1015,Ahmed,Jones,student15@university.com,Male,18
S1016,Maria,Jones,student16@university.com,Female,21
S1017,Liam,Davis,student17@university.com,Female,23
S1018,Liam,Jones,student18@university.com,Male,20
S1019,John,Johnson,student19@university.com,Male,20
S1020,Emma,Davis,student20@university.com,Male,18
S1021,Ahmed,Jones,student21@university.com,Male,22
S1022,Sara,Davis,student22@university.com,Male,22
S1023,Liam,Williams,student23@university.com,Female,23
S1024,Maria,Williams,student24@university.com,Female,20
S1025,Emma,Davis,student25@university.com,Male,18
S1026,Emma,Johnson,student26@university.com,Male,18
S1027,Sara,Johnson,student27@university.com,Male,18
S1028,Liam,Davis,student28@university.com,Female,21
S1029,Maria,Jones,student29@university.com,Female,23
S1030,Ahmed,Brown,student30@university.com,Female,22
S1031,Ali,Johnson,student31@university.com,Male,22
S1032,Maria,Smith,student32@university.com,Female,21
S1033,Sara,Williams,student33@university.com,Male,19
S1034,Emma,Davis,student34@university.com,Female,21
S1035,Ahmed,Smith,student35@university.com,Female,23
S1036,Maria,Davis,student36@university.com,Female,18
S1037,Ali,Williams,student37@university.com,Male,21
S1038,Ali,Williams,student38@university.com,Male,18
S1039,John,Johnson,student39@university.com,Female,23
S1040,John,Johnson,student40@university.com,Male,24
S1041,Omar,Smith,student41@university.com,Male,23
S1042,Sara,Davis,student42@university.com,Male,20
S1043,Liam,Williams,student43@university.com,Male,18
S1044,Maria,Smith,student44@university.com,Male,22
S1045,Maria,Brown,student45@university.com,Male,21
S1046,Liam,Smith,student46@university.com,Male,24
S1047,Omar,Jones,student47@university.com,Female,23
S1048,Emma,Smith,student48@university.com,Male,18
S1049,Emma,Jones,student49@university.com,Male,24
S1050,Omar,Jones,student50@university.com,Female,19
S1051,Emma,Jones,student51@university.com,Female,20
S1052,John,Brown,student52@university.com,Female,19
S1053,Maria,Smith,student53@university.com,Female,23
S1054,Omar,Smith,student54@university.com,Male,19
S1055,Maria,Brown,student55@university.com,Female,19
S1056,Liam,Williams,student56@university.com,Female,20
S1057,Ali,Johnson,student57@university.com,Male,20
S1058,John,Smith,student58@university.com,Male,20
S1059,Ahmed,Johnson,student59@university.com,Male,24
S1060,John,Davis,student60@university.com,Female,20
S1061,Omar,Davis,student61@university.com,Male,19
S1062,Ahmed,Brown,student62@university.com,Female,22
S1063,Ali,Davis,student63@university.com,Male,22
S1064,Omar,Davis,student64@university.com,Male,20
S1065,Sara,Williams,student65@university.com,Female,24
S1066,Maria,Williams,student66@university.com,Male,21
S1067,Ali,Williams,student67@university.com,Male,18
S1068,Maria,Davis,student68@university.com,Male,23
S1069,Emma,Brown,student69@university.com,Male,24
S1070,Sara,Jones,student70@university.com,Male,21
S1071,Sara,Jones,student71@university.com,Female,23
S1072,Ali,Johnson,student72@university.com,Female,21
S1073,Sara,Jones,student73@university.com,Male,21
S1074,Ahmed,Jones,student74@university.com,Female,22
S1075,Sara,Williams,student75@university.com,Female,18
S1076,Maria,Williams,student76@university.com,Female,21
S1077,Maria,Davis,student77@university.com,Male,20
S1078,Omar,Johnson,student78@university.com,Male,23
S1079,Maria,Smith,student79@university.com,Male,24
S1080,Omar,Johnson,student80@university.com,Female,22
S1081,Maria,Johnson,student81@university.com,Female,23
S1082,Ahmed,Brown,student82@university.com,Male,20
S1083,Liam,Davis,student83@university.com,Male,20
S1084,Omar,Brown,student84@university.com,Female,21
S1085,John,Johnson,student85@university.com,Female,20
S1086,Emma,Johnson,student86@university.com,Male,18
S1087,Ali,Johnson,student87@university.com,Female,20
S1088,Maria,Jones,student88@university.com,Female,21
S1089,Sara,Brown,student89@university.com,Female,23
S1090,Liam,Johnson,student90@university.com,Female,20
S1091,Maria,Williams,student91@university.com,Female,22
S1092,Sara,Davis,student92@university.com,Female,24
S1093,Emma,Davis,student93@university.com,Female,22
S1094,Emma,Williams,student94@university.com,Male,22
S1095,Emma,Davis,student95@university.com,Male,23
S1096,Sara,Jones,student96@university.com,Female,19
S1097,Maria,Jones,student97@university.com,Female,24
S1098,Emma,Smith,student98@university.com,Female,22
S1099,Ahmed,Smith,student99@university.com,Male,22
S1100,Omar,Smith,student100@university.com,Male,19
S1101,Sara,Davis,student101@university.com,Female,23
S1102,Sara,Jones,student102@university.com,Male,24
S1103,Maria,Jones,student103@university.com,Female,22
S1104,Sara,Jones,student104@university.com,Female,21
S1105,Sara,Williams,student105@university.com,Female,23
S1106,Emma,Jones,student106@university.com,Female,24
S1107,Maria,Williams,student107@university.com,Female,22
S1108,Emma,Smith,student108@university.com,Female,22
S1109,Omar,Smith,student109@university.com,Female,19
S1110,Liam,Davis,student110@university.com,Male,24
S1111,Omar,Smith,student111@university.com,Female,21
S1112,Liam,Davis,student112@university.com,Male,23
S1113,Emma,Johnson,student113@university.com,Female,20
S1114,Omar,Johnson,student114@university.com,Female,18
S1115,Maria,Brown,student115@university.com,Male,21
S1116,Ali,Davis,student116@university.com,Male,20
S1117,Emma,Brown,student117@university.com,Female,21
S1118,Liam,Brown,student118@university.com,Male,24
S1119,Ahmed,Johnson,student119@university.com,Female,20
S1120,Liam,Davis,student120@university.com,Female,24
S1121,Ahmed,Johnson,student121@university.com,Male,20
S1122,Sara,Brown,student122@university.com,Male,21
S1123,Omar,Davis,student123@university.com,Male,19
S1124,Ahmed,Brown,student124@university.com,Male,21
S1125,Liam,Jones,student125@university.com,Female,24
S1126,Sara,Davis,student126@university.com,Male,21
S1127,Ali,Davis,student127@university.com,Male,20
S1128,Maria,Brown,student128@university.com,Male,18
S1129,Maria,Jones,student129@university.com,Male,20
S1130,Maria,Williams,student130@university.com,Male,22
S1131,Ahmed,Johnson,student131@university.com,Female,21
S1132,Ali,Brown,student132@university.com,Female,23
S1133,Ahmed,Davis,student133@university.com,Male,21
S1134,Omar,Johnson,student134@university.com,Male,19
S1135,Ahmed,Johnson,student135@university.com,Female,24
S1136,Ali,Johnson,student136@university.com,Male,23
S1137,Ali,Williams,student137@university.com,Female,20
S1138,Omar,Smith,student138@university.com,Female,19
S1139,Ali,Brown,student139@university.com,Male,21
S1140,Liam,Smith,student140@university.com,Female,20
S1141,Ali,Smith,student141@university.com,Male,20
S1142,Maria,Smith,student142@university.com,Male,22
S1143,Liam,Johnson,student143@university.com,Female,22
S1144,Liam,Jones,student144@university.com,Female,18
S1145,Omar,Johnson,student145@university.com,Male,22
S1146,John,Johnson,student146@university.com,Female,24
S1147,John,Davis,student147@university.com,Male,23
S1148,Ali,Davis,student148@university.com,Female,20
S1149,Liam,Smith,student149@university.com,Female,22
S1150,John,Johnson,student150@university.com,Male,18
S1151,John,Smith,student151@university.com,Male,21
S1152,Ali,Davis,student152@university.com,Male,23
S1153,John,Jones,student153@university.com,Female,22
S1154,Ahmed,Brown,student154@university.com,Male,20
S1155,Sara,Smith,student155@university.com,Male,21
S1156,Omar,Jones,student156@university.com,Female,24
S1157,Sara,Brown,student157@university.com,Female,20
S1158,Ali,Williams,student158@university.com,Male,21
S1159,Maria,Smith,student159@university.com,Male,24
S1160,Omar,Smith,student160@university.com,Male,24
S1161,Ali,Williams,student161@university.com,Male,23
S1162,Liam,Williams,student162@university.com,Female,20
S1163,Maria,Smith,student163@university.com,Female,22
S1164,Sara,Williams,student164@university.com,Male,22
S1165,Ali,Johnson,student165@university.com,Male,18
S1166,Liam,Brown,student166@university.com,Male,21
S1167,Omar,Brown,student167@university.com,Female,18
S1168,Omar,Brown,student168@university.com,Male,19
S1169,Emma,Johnson,student169@university.com,Male,22
S1170,Liam,Williams,student170@university.com,Female,21
S1171,Ahmed,Jones,student171@university.com,Female,23
S1172,John,Williams,student172@university.com,Male,18
S1173,Maria,Smith,student173@university.com,Male,23
S1174,Liam,Davis,student174@university.com,Female,23
S1175,Emma,Brown,student175@university.com,Male,23
S1176,John,Williams,student176@university.com,Male,18
S1177,John,Jones,student177@university.com,Female,19
S1178,Ali,Smith,student178@university.com,Female,24
S1179,John,Johnson,student179@university.com,Female,24
S1180,Ahmed,Johnson,student180@university.com,Male,18
S1181,Omar,Jones,student181@university.com,Female,24
S1182,Emma,Smith,student182@university.com,Female,20
S1183,John,Brown,student183@university.com,Male,24
S1184,Ali,Williams,student184@university.com,Male,22
S1185,Ahmed,Smith,student185@university.com,Female,18
S1186,Sara,Johnson,student186@university.com,Female,24
S1187,Omar,Jones,student187@university.com,Male,18
S1188,Omar,Jones,student188@university.com,Male,19
S1189,Emma,Williams,student189@university.com,Female,20
S1190,Omar,Jones,student190@university.com,Female,18
S1191,John,Jones,student191@university.com,Male,22
S1192,Ali,Smith,student192@university.com,Female,24
